Hora,Dia,Temperatura,Umidade,Vento,CO,NO2
23,3,11.3,53.5,3.05,3.697,116.4
0,4,16.3,56.3,3.66,2.513,97.8
1,4,17.5,58.6,3.29,4.883,142.7
2,4,18.2,50.9,1.81,4.171,137.5
3,4,18.8,58.3,2.38,,143.2
4,4,17.2,55.1,5.94,3.568,147.5
5,4,19.7,59.3,7.01,,138.0
6,4,20.0,53.0,5.34,2.115,104.4
7,4,18.9,56.2,3.72,2.838,123.4
8,4,19.7,53.9,2.49,3.23,122.6
9,4,20.0,53.5,1.8,2.646,103.6
10,4,22.0,54.7,1.9,1.402,114.6
11,4,17.3,57.5,2.17,1.671,101.9
12,4,16.2,48.9,6.23,0.516,90.5
13,4,14.2,62.9,5.71,0.26,82.6
14,4,9.4,47.9,4.12,0.1,77.3
15,4,12.1,52.9,1.56,1.293,77.8
16,4,11.5,56.1,4.34,1.363,53.0
17,4,15.8,57.3,2.64,2.476,84.5
18,4,10.3,64.8,0.23,0.945,62.8
19,4,11.5,47.3,3.43,2.158,105.4
20,4,11.3,54.1,1.74,2.737,81.5
21,4,9.8,46.4,1.79,2.341,87.9
22,4,15.5,55.5,2.62,2.74,91.0
23,4,15.9,56.6,2.25,3.036,103.3
0,5,17.4,62.7,2.95,3.576,115.5
1,5,15.3,56.0,2.88,4.009,121.3
2,5,21.2,58.9,0.19,5.218,149.8
3,5,16.6,57.9,5.28,4.32,153.7
4,5,21.4,51.4,1.52,3.441,134.1
5,5,25.1,45.4,1.57,3.811,159.6
6,5,18.9,55.7,2.51,4.153,162.2
7,5,19.6,46.7,2.84,2.785,123.6
8,5,20.4,60.4,5.19,2.543,117.0
9,5,18.4,53.7,3.4,1.407,122.0
10,5,15.3,61.4,3.85,2.267,108.9
11,5,17.3,52.4,3.41,0.558,77.7
12,5,13.7,57.2,3.35,0.268,108.4
13,5,15.5,56.4,3.46,,73.0
14,5,11.5,56.3,0.1,2.028,62.4
15,5,15.4,53.2,2.63,0.898,56.0
16,5,10.0,59.0,4.74,0.667,64.2
17,5,10.4,52.3,8.91,0.973,61.9
18,5,12.5,50.2,1.19,1.839,96.7
19,5,8.6,63.6,3.63,1.422,53.7
20,5,12.0,60.0,2.14,2.071,78.3
21,5,14.9,55.8,6.07,1.676,92.5
22,5,10.1,65.3,0.97,3.215,87.3
23,5,14.9,54.2,3.94,3.316,116.0
0,6,16.6,61.6,0.89,3.782,90.3
1,6,18.9,55.2,2.52,3.62,150.3
2,6,16.1,50.1,2.95,3.556,145.5
3,6,16.9,64.2,4.6,4.161,132.6
4,6,21.4,58.5,1.38,4.706,165.5
5,6,21.5,53.0,4.0,3.619,164.9
6,6,21.5,57.2,3.03,3.368,124.3
7,6,21.6,51.5,3.41,2.766,127.6
8,6,19.0,58.4,4.44,3.045,156.6
9,6,20.0,42.0,1.08,2.59,128.1
10,6,19.1,49.2,4.22,2.03,121.8
11,6,15.9,60.1,2.15,1.75,106.3
12,6,19.8,52.8,4.64,1.108,
13,6,15.7,56.3,3.5,0.422,84.2
14,6,11.1,49.9,2.69,0.292,69.5
15,6,13.8,65.1,2.11,1.577,43.0
16,6,9.8,63.0,4.23,0.368,67.3
17,6,12.8,55.2,4.89,0.835,70.3
18,6,13.3,54.0,2.2,1.07,42.1
19,6,9.6,62.3,1.3,1.284,46.3
20,6,13.6,65.8,4.04,1.822,80.0
21,6,13.3,60.8,0.83,3.747,99.2
22,6,15.2,66.3,1.04,3.671,72.1
23,6,18.5,49.8,1.41,3.532,95.2
0,7,15.7,51.2,2.38,4.352,128.2
1,7,16.0,49.3,1.0,4.053,138.4
2,7,16.9,57.1,0.09,5.012,136.4
3,7,18.1,55.4,1.3,5.347,152.5
4,7,20.4,53.1,3.96,4.47,137.5
5,7,21.7,57.5,1.09,4.133,170.2
6,7,21.8,59.6,2.49,3.999,152.6
7,7,22.7,45.6,5.92,3.006,129.0
8,7,20.6,50.8,2.93,1.888,107.5
9,7,22.6,57.3,3.51,2.134,103.6
10,7,18.2,52.2,1.58,1.587,138.0
11,7,22.9,49.1,6.25,1.174,96.9
12,7,17.5,59.9,2.19,2.288,96.9
13,7,13.2,49.6,2.66,1.526,84.3
14,7,11.6,55.0,4.98,,63.6
15,7,13.6,57.6,2.73,1.349,70.7
16,7,11.4,53.7,3.07,0.1,55.5
17,7,12.8,60.1,2.58,1.637,67.6
18,7,12.1,53.5,2.59,2.008,51.1
19,7,11.2,63.7,3.56,0.63,70.7
20,7,10.2,56.3,3.83,2.438,70.1
21,7,9.6,60.5,2.04,1.886,67.8
22,7,12.8,59.9,1.85,2.158,76.0
23,7,16.6,51.9,2.09,4.295,99.4
0,8,16.8,44.7,0.9,3.509,119.1
1,8,15.2,57.3,0.61,3.768,138.9
2,8,19.2,54.6,3.45,4.61,130.3
3,8,20.7,56.6,4.41,3.906,112.6
4,8,18.9,53.2,4.31,3.759,128.2
5,8,21.5,51.4,0.57,4.027,142.5
6,8,21.5,63.6,2.63,3.795,129.5
7,8,18.9,47.0,1.35,3.154,131.5
8,8,21.4,57.2,3.22,2.877,126.5
9,8,21.0,50.8,2.37,2.243,123.4
10,8,21.0,52.0,3.89,2.151,94.7
11,8,19.8,52.5,2.97,1.839,114.9
12,8,13.6,51.9,0.16,2.352,128.4
13,8,13.2,58.9,1.55,0.886,102.5
14,8,14.9,62.5,3.01,0.854,64.8
15,8,13.9,58.2,3.14,1.034,79.2
16,8,13.1,56.6,0.89,1.714,79.4
17,8,19.2,49.3,0.7,1.238,62.7
18,8,12.5,58.8,3.08,1.559,
19,8,13.8,66.6,0.89,0.891,70.2
20,8,14.0,53.9,0.5,2.441,91.7
21,8,14.1,53.9,2.33,3.33,79.9
22,8,13.2,53.2,2.27,2.76,103.8
23,8,16.6,52.6,1.68,3.759,134.8
0,9,15.0,41.8,1.94,3.553,128.8
1,9,17.4,56.8,3.02,3.565,146.5
2,9,18.1,50.4,1.92,,103.2
3,9,20.2,45.9,3.11,3.644,146.6
4,9,25.5,56.1,2.43,4.512,155.1
5,9,17.6,49.3,3.25,3.82,162.6
6,9,22.9,51.4,4.32,3.099,124.1
7,9,18.1,61.9,4.26,3.015,131.5
8,9,19.9,47.0,4.93,2.107,140.6
9,9,22.3,45.7,4.26,2.629,111.6
10,9,19.2,55.6,3.36,1.277,111.4
11,9,15.7,61.0,2.35,1.37,101.2
12,9,15.1,47.6,2.42,1.125,88.3
13,9,16.6,57.1,1.68,1.79,98.7
14,9,12.6,59.1,3.01,0.9,57.3
15,9,13.4,45.7,4.05,1.279,59.9
16,9,12.3,60.3,1.91,1.368,65.6
17,9,10.4,61.3,2.94,1.391,46.9
18,9,15.8,53.7,1.98,1.617,84.6
19,9,13.0,62.4,3.31,2.372,62.8
20,9,8.2,63.2,2.18,1.942,85.2
21,9,13.4,56.5,1.89,1.934,65.0
22,9,12.7,53.9,1.98,3.018,105.7
23,9,17.0,50.0,3.75,3.708,85.2
0,10,15.1,55.3,2.85,2.93,130.4
1,10,17.8,57.5,2.36,3.64,141.2
2,10,20.2,52.3,3.39,3.555,122.3
3,10,22.0,42.4,2.38,4.72,136.0
4,10,18.6,60.8,4.69,4.633,159.2
5,10,20.9,54.7,1.54,3.894,125.0
6,10,20.8,51.9,2.72,3.842,148.9
7,10,20.2,58.2,0.89,3.631,133.2
8,10,24.6,60.3,2.48,3.828,
9,10,21.1,39.7,0.48,2.359,115.1
10,10,16.7,57.2,4.12,,99.3
11,10,19.8,46.9,4.15,1.397,
12,10,21.0,56.2,4.18,1.406,
13,10,17.5,55.4,3.04,2.393,74.0
14,10,11.2,59.8,1.68,0.908,60.9
15,10,12.2,53.8,1.8,0.538,77.0
16,10,14.9,46.2,5.3,0.306,71.6
17,10,10.5,54.6,5.15,1.525,45.5
18,10,12.6,58.3,3.18,1.072,71.2
19,10,13.4,61.0,2.23,2.325,78.2
20,10,10.5,51.0,5.05,1.611,41.0
21,10,13.1,61.2,1.96,2.143,74.2
22,10,7.7,54.4,3.34,3.043,93.4
23,10,13.4,57.8,5.03,2.86,101.6
0,11,16.4,52.5,1.75,4.119,101.4
1,11,15.7,56.2,4.24,4.038,116.7
2,11,22.6,57.7,3.78,4.526,130.9
3,11,17.6,48.6,2.94,3.915,132.3
4,11,20.3,50.5,1.51,4.542,143.6
5,11,22.0,54.3,1.91,3.556,142.5
6,11,24.8,64.6,3.43,2.478,139.4
7,11,18.8,50.0,0.86,3.665,172.2
8,11,23.5,63.1,3.2,3.011,149.2
9,11,20.4,63.9,3.81,2.016,141.1
10,11,17.4,54.3,4.48,1.0,97.8
11,11,19.1,52.8,0.9,0.837,81.1
12,11,17.3,51.4,4.97,1.13,103.3
13,11,14.4,55.3,5.54,1.561,87.6
14,11,14.5,48.6,3.62,0.797,83.9
15,11,12.6,55.8,1.44,0.838,53.9
16,11,12.8,63.7,2.51,1.043,74.2
17,11,13.4,52.9,2.93,2.356,72.0
18,11,15.1,54.3,3.41,1.978,62.9
19,11,9.6,48.6,3.03,1.253,58.0
20,11,16.8,56.8,3.42,2.442,85.8
21,11,9.4,58.5,2.86,2.671,97.1
22,11,14.1,56.1,3.4,2.524,84.7
23,11,16.8,53.9,2.31,3.996,117.4
0,12,17.6,53.3,2.49,3.485,120.0
1,12,17.1,57.4,2.14,,132.0
2,12,19.1,54.1,5.88,3.906,148.9
3,12,19.6,55.7,5.2,,167.2
4,12,20.2,55.0,3.83,3.959,138.6
5,12,23.6,58.5,4.99,3.407,165.0
6,12,22.8,56.6,4.2,,143.9
7,12,20.5,54.8,3.27,3.718,129.7
8,12,23.2,60.6,0.74,3.376,130.0
9,12,21.2,55.7,2.61,2.002,128.2
10,12,21.2,60.2,2.5,1.146,117.3
11,12,19.6,57.2,1.3,1.384,86.4
12,12,15.4,46.2,0.77,1.509,83.6
13,12,14.6,62.1,3.74,0.613,70.4
14,12,16.0,55.9,3.49,0.6,58.1
15,12,14.7,55.3,1.25,0.852,39.1
16,12,12.7,57.6,1.88,,
17,12,12.5,54.5,4.74,1.431,59.6
18,12,14.6,56.8,1.68,1.751,71.3
19,12,11.0,53.7,3.26,1.801,78.9
20,12,13.8,62.2,2.72,2.236,55.9
21,12,13.1,55.5,3.76,2.349,62.1
22,12,14.1,53.9,1.72,3.669,93.8
23,12,18.0,50.0,3.14,3.965,111.9
0,13,18.9,55.7,3.25,4.903,144.2
1,13,20.1,54.9,3.35,4.407,142.6
2,13,22.3,55.2,3.12,4.054,130.0
3,13,20.8,48.6,3.52,3.701,143.6
4,13,22.9,45.1,6.29,4.326,136.6
5,13,21.4,56.7,6.84,3.089,141.0
6,13,22.9,60.6,2.04,4.155,150.6
7,13,21.8,48.3,0.48,3.118,161.2
8,13,21.7,61.4,3.89,2.943,142.8
9,13,21.9,54.8,3.28,1.92,108.9
10,13,18.1,54.5,4.59,2.147,105.1
11,13,22.7,51.2,3.43,1.166,94.4
12,13,15.2,48.5,3.09,1.326,69.8
13,13,13.5,60.9,4.69,0.678,75.6
14,13,17.0,51.0,4.9,0.914,72.0
15,13,15.3,51.5,0.92,1.008,
16,13,14.1,60.7,1.78,0.987,73.1
17,13,13.6,46.5,2.84,1.366,66.2
18,13,12.2,48.7,3.15,0.983,35.4
19,13,10.6,56.7,2.66,1.303,45.7
20,13,13.0,57.6,3.65,2.037,65.3
21,13,12.3,58.7,4.49,2.288,91.4
22,13,16.7,53.5,5.58,2.46,98.9
23,13,15.6,68.0,3.87,3.866,107.2
0,14,15.7,54.1,1.72,3.71,152.5
1,14,18.0,53.4,2.78,3.94,150.6
2,14,20.7,49.8,2.89,3.581,
3,14,19.8,54.7,3.77,5.114,162.9
4,14,20.1,57.1,3.58,5.192,164.8
5,14,22.7,59.2,6.08,,147.2
6,14,22.9,45.7,2.31,4.337,126.3
7,14,21.2,52.4,3.58,3.113,124.3
8,14,20.8,56.0,6.53,3.258,135.2
9,14,21.4,56.5,2.12,2.706,130.2
10,14,17.0,54.9,3.22,1.89,112.0
11,14,15.9,58.0,1.58,0.376,95.6
12,14,15.9,51.2,3.12,0.784,
13,14,15.7,63.1,1.83,1.182,91.6
14,14,15.5,60.3,4.57,0.919,75.1
15,14,16.8,48.2,3.22,0.445,60.4
16,14,14.8,50.2,1.6,0.882,76.7
17,14,12.2,51.1,4.26,1.353,48.9
18,14,12.3,59.7,3.27,0.788,54.3
19,14,10.6,50.4,4.43,,72.2
20,14,13.0,54.4,1.28,3.071,71.9
21,14,13.3,58.3,3.55,2.821,56.9
22,14,15.5,55.0,4.16,3.216,79.9
23,14,14.4,57.0,2.36,2.485,96.1
0,15,18.6,49.1,1.11,3.67,113.0
1,15,21.9,56.4,2.94,5.258,140.1
2,15,19.8,51.0,4.84,3.706,122.2
3,15,21.9,51.8,4.69,4.724,128.8
4,15,23.3,54.2,2.36,3.955,147.6
5,15,21.6,54.0,1.08,3.942,145.9
6,15,23.0,53.2,2.35,3.983,159.4
7,15,22.4,49.5,2.3,3.397,131.7
8,15,22.1,51.9,3.67,2.999,
9,15,19.5,54.1,2.84,1.964,81.8
10,15,20.1,47.1,1.87,1.562,104.6
11,15,19.8,51.7,4.66,1.074,100.4
12,15,20.5,55.8,3.21,1.173,88.2
13,15,18.2,48.2,3.65,1.0,73.8
14,15,19.4,60.0,0.41,1.947,60.6
15,15,12.5,62.6,0.64,1.139,41.8
16,15,15.0,49.3,0.84,1.573,75.3
17,15,13.1,62.9,2.28,1.388,
18,15,16.9,54.2,3.86,1.092,55.5
19,15,11.1,58.8,0.51,2.057,48.5
20,15,11.5,54.1,5.39,2.033,59.9
21,15,12.8,60.8,3.26,3.015,89.6
22,15,10.8,58.8,5.04,2.19,91.2
23,15,15.2,51.4,1.67,2.583,95.6
0,16,16.2,49.3,3.76,3.785,138.5
1,16,19.3,46.9,3.13,4.259,121.7
2,16,20.9,54.7,4.23,4.031,154.6
3,16,25.0,55.4,2.65,4.465,149.1
4,16,24.0,56.1,3.71,4.599,153.6
5,16,21.4,53.0,4.65,3.485,157.8
6,16,20.9,47.9,2.02,3.515,135.8
7,16,23.5,49.5,3.36,3.336,137.4
8,16,19.4,59.9,0.17,2.415,111.8
9,16,24.9,50.1,4.05,2.445,139.7
10,16,22.6,53.9,5.93,1.816,118.2
11,16,18.1,49.2,1.13,2.6,130.2
12,16,14.3,57.4,2.86,1.017,93.2
13,16,19.1,52.0,4.32,1.196,100.7
14,16,15.0,60.7,3.05,1.406,67.8
15,16,16.7,58.9,3.25,0.624,79.8
16,16,10.2,54.5,2.41,1.624,64.3
17,16,11.7,55.9,2.36,2.121,72.3
18,16,12.7,53.4,2.87,1.525,76.2
19,16,13.0,49.0,3.06,1.617,102.1
20,16,12.5,52.0,1.23,3.244,98.8
21,16,15.4,56.4,2.9,3.199,104.5
22,16,13.1,57.7,5.35,2.848,85.3
23,16,16.1,55.9,2.37,4.293,117.5
0,17,18.1,53.1,1.14,4.715,125.7
1,17,20.2,58.6,2.77,3.994,148.8
2,17,21.8,53.8,1.93,4.52,138.0
3,17,19.2,57.8,0.99,4.613,167.3
4,17,19.1,45.4,3.21,3.984,126.3
5,17,25.3,32.8,1.93,3.484,164.8
6,17,23.5,54.4,2.06,3.313,130.2
7,17,21.2,46.5,3.23,2.515,146.9
8,17,25.3,51.3,0.7,3.513,128.1
9,17,21.7,52.0,0.39,2.132,131.8
10,17,22.7,61.1,4.01,2.145,102.0
11,17,19.3,56.2,0.1,2.862,131.9
12,17,22.0,54.2,1.53,2.398,116.7
13,17,20.1,58.2,0.3,0.627,69.5
14,17,14.9,57.4,2.27,0.38,77.5
15,17,16.3,52.8,3.64,0.597,79.0
16,17,14.8,60.9,3.17,0.508,45.2
17,17,15.8,49.7,6.59,0.194,37.5
18,17,11.0,58.3,4.63,1.269,46.6
19,17,14.4,47.9,1.6,2.457,57.4
20,17,15.7,56.3,1.2,3.069,68.6
21,17,10.8,57.7,7.06,1.918,91.8
22,17,13.0,64.5,4.59,2.743,100.8
23,17,12.5,48.4,3.88,3.424,81.0
0,18,17.5,51.7,3.11,3.772,110.1
1,18,20.8,57.9,3.41,4.532,115.7
2,18,23.6,54.6,0.78,4.814,156.1
3,18,21.7,54.4,3.24,4.041,134.9
4,18,25.6,47.5,3.11,3.376,116.6
5,18,20.1,51.0,1.64,4.701,158.5
6,18,19.6,60.3,2.19,3.23,151.4
7,18,22.8,52.9,5.27,3.246,127.1
8,18,23.1,54.9,2.81,1.989,121.9
9,18,21.5,53.0,6.11,2.14,109.1
10,18,16.4,49.2,0.39,2.144,135.1
11,18,19.2,58.9,2.22,1.801,99.3
12,18,15.4,57.9,0.68,2.949,98.7
13,18,18.1,66.1,1.19,1.042,81.9
14,18,16.3,50.0,1.76,1.55,77.4
15,18,12.6,60.3,3.47,1.08,79.9
16,18,12.7,49.6,3.4,0.622,78.5
17,18,11.1,57.5,1.98,1.65,85.9
18,18,12.9,61.0,0.34,1.719,61.5
19,18,15.1,45.1,5.22,,
20,18,11.7,55.5,2.57,3.24,
21,18,15.5,52.5,1.33,3.038,112.1
22,18,14.5,52.1,3.41,2.931,81.2
23,18,15.2,57.4,3.31,3.963,120.7
0,19,18.0,60.2,2.52,4.609,132.4
1,19,17.4,54.1,3.22,3.537,137.0
2,19,19.6,55.1,1.27,4.125,154.9
3,19,19.4,54.8,4.14,4.357,129.2
4,19,26.5,52.1,1.5,4.44,140.0
5,19,23.1,47.6,2.09,3.579,158.4
6,19,21.8,59.0,3.97,3.774,150.0
7,19,23.5,54.4,4.81,3.485,110.4
8,19,22.3,55.3,5.38,2.482,105.8
9,19,21.3,49.6,4.58,2.318,134.3
10,19,21.9,51.1,2.51,1.869,126.3
11,19,21.0,52.8,0.69,1.425,81.8
12,19,17.2,47.2,5.11,0.836,104.8
13,19,15.8,46.8,5.06,0.891,78.2
14,19,15.2,52.4,1.99,0.323,52.9
15,19,10.1,59.6,4.38,0.388,54.3
16,19,10.9,53.5,2.5,1.003,
17,19,16.1,50.1,5.25,1.768,59.5
18,19,16.5,51.0,2.23,1.636,38.3
19,19,12.9,53.9,5.97,0.968,59.6
20,19,15.0,53.7,4.18,2.158,84.4
21,19,15.3,66.2,5.7,2.232,60.9
22,19,21.9,58.7,2.3,3.827,103.5
23,19,19.2,59.4,3.61,3.438,94.5
0,20,18.1,60.4,1.55,2.658,116.6
1,20,17.8,49.7,4.27,5.736,110.4
2,20,17.7,48.6,4.35,4.018,145.9
3,20,22.3,47.8,6.6,3.967,113.6
4,20,21.2,60.3,3.72,3.25,135.3
5,20,20.4,51.2,4.09,2.987,128.2
6,20,22.1,47.1,2.29,3.639,141.0
7,20,21.0,51.5,3.81,3.295,119.0
8,20,26.1,51.0,2.43,3.483,165.7
9,20,23.7,54.2,3.17,2.666,108.6
10,20,20.9,55.0,3.26,1.436,91.2
11,20,22.6,49.1,2.47,0.623,120.9
12,20,18.5,57.9,3.09,1.305,97.9
13,20,15.4,52.2,2.44,0.828,61.7
14,20,18.9,53.5,2.43,0.573,68.8
15,20,15.9,58.7,4.61,1.283,68.1
16,20,12.0,53.2,3.26,0.151,30.2
17,20,13.2,53.2,3.52,1.505,
18,20,11.6,59.5,0.81,0.984,59.4
19,20,10.8,52.5,3.64,1.786,87.9
20,20,15.9,53.3,3.8,2.812,79.3
21,20,18.7,57.2,2.4,2.843,85.5
22,20,13.1,66.3,6.13,3.574,88.5
23,20,18.2,57.6,0.43,4.835,137.0
0,21,17.2,57.2,4.18,3.825,131.8
1,21,18.9,57.0,4.07,4.236,142.0
2,21,19.9,48.7,3.81,4.64,143.1
3,21,20.3,54.5,3.26,4.429,121.5
4,21,23.0,53.0,3.83,4.317,165.5
5,21,21.7,55.1,4.3,3.502,144.9
6,21,24.1,53.4,1.91,2.98,135.2
7,21,23.3,54.9,3.45,2.58,141.5
8,21,22.4,51.7,2.73,4.109,150.4
9,21,20.3,54.2,1.36,2.719,112.4
10,21,19.9,47.9,4.08,1.776,107.9
11,21,21.3,52.0,2.15,2.474,83.9
12,21,19.5,61.1,0.75,1.265,93.9
13,21,15.3,57.0,2.19,1.408,106.3
14,21,16.2,55.0,1.8,1.172,49.8
15,21,16.5,64.5,4.54,1.135,72.1
16,21,10.9,49.9,3.23,0.719,71.2
17,21,14.8,50.0,5.07,0.64,69.7
18,21,12.2,64.9,2.0,1.189,50.7
19,21,14.8,55.8,4.31,1.463,49.1
20,21,12.7,55.0,7.26,1.836,63.6
21,21,11.4,50.6,3.53,1.758,94.2
22,21,12.8,58.4,4.29,2.274,62.1
23,21,17.3,57.5,4.04,3.54,89.4
0,22,19.2,48.8,0.87,4.073,113.8
1,22,18.2,53.8,3.88,4.045,113.6
2,22,22.5,51.6,3.46,4.254,136.9
3,22,18.9,55.6,2.61,5.41,176.5
4,22,22.9,47.5,1.67,4.374,131.7
5,22,21.1,59.9,4.04,3.571,142.5
6,22,22.4,57.9,1.54,3.827,148.1
7,22,23.6,51.1,6.2,3.527,139.2
8,22,21.3,52.5,3.17,2.794,110.2
9,22,21.5,52.9,1.17,2.98,121.4
10,22,23.2,49.1,2.23,2.448,110.0
11,22,18.8,52.1,2.58,1.529,112.6
12,22,20.4,52.5,6.62,1.15,97.8
13,22,15.1,63.5,1.67,1.96,68.6
14,22,17.3,59.6,2.83,1.203,71.2
15,22,18.0,59.3,2.19,0.724,58.5
16,22,9.4,59.0,3.75,0.604,89.4
17,22,12.3,50.7,2.22,0.225,57.7
18,22,14.9,55.3,1.29,1.872,52.6
19,22,13.5,60.8,2.71,2.602,65.4
20,22,15.1,49.2,2.55,1.759,65.9
21,22,14.0,59.0,2.11,2.881,93.0
22,22,16.4,66.7,2.19,3.78,110.1
23,22,17.1,60.2,4.78,3.932,114.6
0,23,21.2,60.7,2.52,4.71,124.0
1,23,20.7,54.9,1.3,3.398,119.7
2,23,22.0,58.2,2.31,4.622,139.3
3,23,21.6,49.9,3.08,3.483,109.3
4,23,22.2,57.3,1.0,3.845,143.5
5,23,22.8,56.4,5.44,4.117,141.5
6,23,24.6,54.1,4.3,3.692,122.1
7,23,22.8,59.7,5.15,3.447,179.7
8,23,23.8,50.2,3.59,2.436,135.0
9,23,26.5,51.1,0.14,3.73,138.7
10,23,23.1,53.5,5.3,2.281,112.2
11,23,19.5,49.0,1.7,2.24,121.1
12,23,21.3,54.8,1.83,1.078,73.3
13,23,16.7,46.4,3.23,1.671,84.3
14,23,12.3,61.6,5.07,0.451,55.2
15,23,13.3,56.2,4.58,0.436,74.0
16,23,10.8,54.2,4.36,1.083,52.4
17,23,13.3,51.8,2.53,1.595,83.5
18,23,13.9,54.7,2.51,1.21,60.6
19,23,17.4,58.2,3.52,3.089,93.5
20,23,15.2,58.2,2.8,,93.2
21,23,14.9,52.0,4.33,2.933,
22,23,18.0,50.4,4.25,3.379,84.8
23,23,13.1,59.3,3.89,3.443,120.2
0,24,19.5,50.5,0.79,3.383,85.9
1,24,21.9,53.7,3.19,4.259,131.0
2,24,18.6,55.1,2.84,4.192,128.7
3,24,24.8,54.1,3.25,4.094,121.1
4,24,24.0,57.1,1.87,4.193,134.5
5,24,23.0,46.8,1.01,2.968,129.1
6,24,25.3,42.9,3.69,3.156,138.6
7,24,28.4,48.6,2.47,4.09,142.0
8,24,23.7,61.9,3.86,3.736,144.5
